Data as of,Date_Of_Death_Year,Date_Of_Death_Month,AgeGroup,Sex,COVID19,Diabetes.uc,Diabetes.mc,C19PlusDiabetes,C19PlusHypertensiveDiseases,C19PlusMajorCardiovascularDiseases,C19PlusHypertensiveDiseasesAndMCVD,C19PlusChronicLowerRespiratoryDisease,C19PlusKidneyDisease,C19PlusChronicLiverDiseaseAndCirrhosis,C19PlusObesity
10/20/2020,2020,5,18-29 years,Female (F),37,19,37,4,2,11,11,0,4,0,6
10/20/2020,2020,5,18-29 years,Male (M),86,34,60,9,5,25,25,2,4,3,16
10/20/2020,2020,5,30-39 years,Female (F),102,54,125,17,12,41,41,6,9,1,31
10/20/2020,2020,5,30-39 years,Male (M),250,103,215,33,24,71,71,9,21,8,45
10/20/2020,2020,5,40-49 years,Female (F),286,132,402,53,46,104,104,23,25,6,45
10/20/2020,2020,5,40-49 years,Male (M),686,247,694,131,111,247,247,22,69,6,88
10/20/2020,2020,5,50-59 years,Female (F),852,356,1086,178,169,373,373,87,83,29,87
10/20/2020,2020,5,50-59 years,Male (M),1792,627,1951,336,342,787,787,72,208,48,125
10/20/2020,2020,5,50-64 years,Female (F),1733,668,2113,344,340,752,752,189,166,53,152
10/20/2020,2020,5,50-64 years,Male (M),3380,1149,3730,626,650,1490,1490,178,365,89,194
10/20/2020,2020,5,60-69 years,Female (F),2117,685,2394,419,448,950,950,253,177,38,141
10/20/2020,2020,5,60-69 years,Male (M),3652,1120,3931,668,746,1638,1638,292,382,60,114
10/20/2020,2020,5,65-74 years,Female (F),2856,845,3143,533,597,1298,1298,342,227,26,128
10/20/2020,2020,5,65-74 years,Male (M),4404,1244,4695,822,962,2036,2036,401,479,49,100
10/20/2020,2020,5,70-79 years,Female (F),3548,934,3625,581,730,1583,1583,404,278,19,89
10/20/2020,2020,5,70-79 years,Male (M),4826,1190,4909,846,1041,2276,2276,474,516,48,96
10/20/2020,2020,5,75-84 years,Female (F),4351,899,3752,655,905,1917,1917,445,311,21,72
10/20/2020,2020,5,75-84 years,Male (M),4862,1028,4492,762,1082,2342,2342,513,454,24,59
10/20/2020,2020,5,80+ years,Female (F),10778,1326,5840,1095,2337,4964,4964,844,615,21,69
10/20/2020,2020,5,80+ years,Male (M),6958,1117,5112,868,1572,3445,3445,648,578,9,31
10/20/2020,2020,5,85+ years,Female (F),8355,889,3937,741,1842,3903,3903,612,449,7,34
10/20/2020,2020,5,85+ years,Male (M),4582,633,2986,508,1007,2278,2278,394,386,3,13
10/20/2020,2020,5,Unknown age,Male (M),1,0,2,0,0,0,0,0,1,0,0
10/20/2020,2020,5,,Male (M),1,0,0,0,0,1,1,0,0,0,0
10/20/2020,2020,6,<18 years,Female (F),7,4,6,0,0,0,0,1,0,0,1
10/20/2020,2020,6,<18 years,Male (M),11,3,6,0,0,4,4,0,1,0,1
10/20/2020,2020,6,18-29 years,Female (F),43,15,35,7,1,9,9,2,0,0,12
10/20/2020,2020,6,18-29 years,Male (M),58,34,55,4,3,14,14,7,4,2,13
10/20/2020,2020,6,30-39 years,Female (F),101,58,123,18,4,32,32,2,8,6,29
10/20/2020,2020,6,30-39 years,Male (M),184,83,199,32,25,66,66,5,17,4,40
10/20/2020,2020,6,40-49 years,Female (F),214,120,363,48,32,85,85,11,24,8,42
10/20/2020,2020,6,40-49 years,Male (M),461,224,598,84,73,172,172,12,45,7,70
10/20/2020,2020,6,50-59 years,Female (F),577,332,1028,138,111,260,260,47,58,13,62
10/20/2020,2020,6,50-59 years,Male (M),1087,581,1834,237,201,455,455,37,130,40,92
10/20/2020,2020,6,50-64 years,Female (F),1074,651,2063,265,229,497,497,103,110,27,109
10/20/2020,2020,6,50-64 years,Male (M),1956,1056,3379,428,396,869,869,98,247,55,132
10/20/2020,2020,6,60-69 years,Female (F),1115,680,2281,266,255,504,504,115,116,25,99
10/20/2020,2020,6,60-69 years,Male (M),1907,1076,3597,442,436,937,937,151,243,35,72
10/20/2020,2020,6,65-74 years,Female (F),1449,832,2877,321,328,678,678,147,153,19,98
10/20/2020,2020,6,65-74 years,Male (M),2266,1213,4396,527,538,1127,1127,206,264,42,72
10/20/2020,2020,6,70-79 years,Female (F),1801,915,3309,352,424,890,890,202,171,13,77
10/20/2020,2020,6,70-79 years,Male (M),2377,1167,4519,485,542,1154,1154,219,256,28,60
10/20/2020,2020,6,75-84 years,Female (F),2130,889,3457,343,492,1037,1037,225,179,9,48
10/20/2020,2020,6,75-84 years,Male (M),2292,1051,4181,397,488,1141,1141,221,234,10,36
10/20/2020,2020,6,80+ years,Female (F),4568,1275,5374,527,1156,2324,2324,392,307,10,33
10/20/2020,2020,6,80+ years,Male (M),3163,1135,4740,441,731,1645,1645,302,298,10,18
10/20/2020,2020,6,85+ years,Female (F),3408,830,3595,354,897,1766,1766,281,210,6,16
10/20/2020,2020,6,85+ years,Male (M),2020,639,2734,253,488,1054,1054,184,182,6,2
10/20/2020,2020,7,<18 years,Female (F),9,5,6,0,0,1,1,1,0,0,1
10/20/2020,2020,7,<18 years,Male (M),16,4,4,0,0,3,3,0,0,0,2
10/20/2020,2020,7,18-29 years,Female (F),83,19,43,10,3,18,18,5,8,0,21
10/20/2020,2020,7,18-29 years,Male (M),137,34,76,23,12,42,42,8,9,2,48
10/20/2020,2020,7,30-39 years,Female (F),183,60,161,48,33,70,70,14,14,5,58
10/20/2020,2020,7,30-39 years,Male (M),358,101,226,42,34,120,120,13,40,13,97
10/20/2020,2020,7,40-49 years,Female (F),437,150,485,126,91,179,179,27,43,7,119
10/20/2020,2020,7,40-49 years,Male (M),867,258,779,186,179,353,353,25,92,30,175
10/20/2020,2020,7,50-59 years,Female (F),1059,376,1277,277,236,489,489,78,117,27,169
10/20/2020,2020,7,50-59 years,Male (M),1974,658,2185,504,471,900,900,82,204,47,250
10/20/2020,2020,7,50-64 years,Female (F),2013,733,2481,554,481,902,902,175,224,51,283
10/20/2020,2020,7,50-64 years,Male (M),3587,1227,4121,908,890,1703,1703,175,403,89,380
10/20/2020,2020,7,60-69 years,Female (F),2190,799,2752,612,556,1002,1002,220,237,54,222
10/20/2020,2020,7,60-69 years,Male (M),3570,1265,4428,895,940,1798,1798,267,450,86,243
10/20/2020,2020,7,65-74 years,Female (F),2757,974,3435,686,710,1372,1372,326,285,52,219
10/20/2020,2020,7,65-74 years,Male (M),4219,1451,5426,1061,1109,2146,2146,395,531,73,208
10/20/2020,2020,7,70-79 years,Female (F),3114,1012,3889,722,843,1594,1594,400,308,40,186
10/20/2020,2020,7,70-79 years,Male (M),4581,1401,5654,1080,1235,2359,2359,481,504,53,152
10/20/2020,2020,7,75-84 years,Female (F),3424,977,3994,686,972,1741,1741,415,285,23,124
10/20/2020,2020,7,75-84 years,Male (M),4542,1192,5121,965,1244,2382,2382,526,427,33,90
10/20/2020,2020,7,80+ years,Female (F),6410,1374,5955,895,1825,3324,3324,661,413,20,93
10/20/2020,2020,7,80+ years,Male (M),5675,1236,5445,969,1590,3087,3087,654,496,14,50
10/20/2020,2020,7,85+ years,Female (F),4579,877,3963,580,1297,2394,2394,443,281,15,44
10/20/2020,2020,7,85+ years,Male (M),3452,690,3044,514,993,1913,1913,388,293,5,17
10/20/2020,2020,7,Unknown age,Male (M),3,0,2,1,1,1,1,0,0,0,1
10/20/2020,2020,8,<18 years,Female (F),8,2,3,1,0,4,4,0,1,0,1
10/20/2020,2020,8,<18 years,Male (M),6,4,6,1,0,3,3,1,0,0,0
10/20/2020,2020,8,18-29 years,Female (F),48,19,35,8,3,15,15,4,5,1,9
10/20/2020,2020,8,18-29 years,Male (M),80,21,42,10,10,24,24,5,13,2,21
10/20/2020,2020,8,30-39 years,Female (F),135,58,105,17,15,43,43,11,13,8,20
10/20/2020,2020,8,30-39 years,Male (M),222,78,198,35,25,86,86,7,26,7,48
10/20/2020,2020,8,40-49 years,Female (F),370,133,386,85,50,119,119,25,46,6,62
10/20/2020,2020,8,40-49 years,Male (M),695,226,668,158,106,254,254,19,77,20,119
10/20/2020,2020,8,50-59 years,Female (F),952,329,1134,221,189,404,404,64,115,25,142
10/20/2020,2020,8,50-59 years,Male (M),1649,588,1937,353,327,704,704,63,231,39,144
10/20/2020,2020,8,50-64 years,Female (F),1879,620,2248,451,368,803,803,165,238,39,244
10/20/2020,2020,8,50-64 years,Male (M),3087,1087,3679,693,627,1370,1370,148,413,63,250
10/20/2020,2020,8,60-69 years,Female (F),2116,709,2538,478,437,938,938,221,276,31,209
10/20/2020,2020,8,60-69 years,Male (M),3304,1088,3935,752,690,1546,1546,259,451,63,198
10/20/2020,2020,8,65-74 years,Female (F),2654,890,3283,584,587,1223,1223,278,310,32,194
10/20/2020,2020,8,65-74 years,Male (M),4050,1248,4944,905,893,1960,1960,394,551,68,192
10/20/2020,2020,8,70-79 years,Female (F),3087,933,3793,679,702,1441,1441,343,302,27,156
10/20/2020,2020,8,70-79 years,Male (M),4427,1250,5218,956,1052,2229,2229,490,545,49,162
10/20/2020,2020,8,75-84 years,Female (F),3481,950,3896,647,808,1671,1671,382,303,20,111
10/20/2020,2020,8,75-84 years,Male (M),4358,1124,4854,852,1055,2238,2238,484,497,29,85
10/20/2020,2020,8,80+ years,Female (F),6384,1397,5815,820,1519,3166,3166,575,424,15,76
10/20/2020,2020,8,80+ years,Male (M),5426,1249,5433,840,1273,2831,2831,542,532,14,35
10/20/2020,2020,8,85+ years,Female (F),4525,908,3853,516,1084,2252,2252,378,266,7,34
10/20/2020,2020,8,85+ years,Male (M),3311,716,3046,451,767,1742,1742,328,298,5,12
10/20/2020,2020,8,Unknown age,Female (F),1,0,0,0,0,1,1,0,0,0,0
10/20/2020,2020,9,<18 years,Female (F),2,4,6,1,0,1,1,0,0,0,2
10/20/2020,2020,9,<18 years,Male (M),4,0,1,0,0,0,0,0,0,0,0
10/20/2020,2020,9,18-29 years,Female (F),31,8,24,5,0,13,13,2,1,0,6
10/20/2020,2020,9,18-29 years,Male (M),41,12,24,6,5,19,19,0,2,0,10
10/20/2020,2020,9,30-39 years,Female (F),74,33,67,9,7,25,25,3,13,3,16
10/20/2020,2020,9,30-39 years,Male (M),116,46,107,14,4,40,40,2,17,4,15
10/20/2020,2020,9,40-49 years,Female (F),187,118,291,48,17,68,68,10,20,7,40
10/20/2020,2020,9,40-49 years,Male (M),324,175,463,54,40,125,125,5,31,9,39
10/20/2020,2020,9,50-59 years,Female (F),474,291,897,110,78,187,187,29,67,13,73
10/20/2020,2020,9,50-59 years,Male (M),841,492,1427,171,137,341,341,36,100,26,62
10/20/2020,2020,9,50-64 years,Female (F),952,536,1708,215,167,395,395,63,125,23,119
10/20/2020,2020,9,50-64 years,Male (M),1642,904,2822,335,268,680,680,99,197,45,113
10/20/2020,2020,9,60-69 years,Female (F),1123,603,2005,238,210,486,486,113,138,20,107
10/20/2020,2020,9,60-69 years,Male (M),1732,882,3093,354,294,731,731,154,220,30,101
10/20/2020,2020,9,65-74 years,Female (F),1545,786,2684,301,280,664,664,184,175,18,106
10/20/2020,2020,9,65-74 years,Male (M),2181,1040,3815,448,384,993,993,212,290,25,87
10/20/2020,2020,9,70-79 years,Female (F),1831,852,2991,311,333,796,796,196,175,10,82
10/20/2020,2020,9,70-79 years,Male (M),2534,1093,4226,478,438,1178,1178,252,317,18,77
10/20/2020,2020,9,75-84 years,Female (F),2000,819,3106,299,381,900,900,200,156,6,52
10/20/2020,2020,9,75-84 years,Male (M),2525,956,3925,385,434,1182,1182,276,292,7,52
10/20/2020,2020,9,80+ years,Female (F),3847,1201,4809,426,785,1785,1785,318,255,7,31
10/20/2020,2020,9,80+ years,Male (M),3277,1053,4387,394,580,1590,1590,340,331,6,16
10/20/2020,2020,9,85+ years,Female (F),2778,806,3204,270,578,1295,1295,209,179,3,16
10/20/2020,2020,9,85+ years,Male (M),2036,620,2571,229,363,985,985,195,189,3,4
